method,k,n_features,accuracy,f1,variance_retained,recon_loss,runtime
Baseline Pipeline,,276,0.48476454293628807,0.42121288910179416,,,1.3486578464508057
SVD Pipeline,5.0,5,0.3601108033240997,0.30084318408278865,0.7888510277927756,,0.4377620220184326
SVD Pipeline,10.0,10,0.39058171745152354,0.29320848005732886,0.8645858889859711,,0.49259090423583984
SVD Pipeline,20.0,20,0.4404432132963989,0.3590954050251221,0.9288291060491777,,0.5791070461273193
SVD Pipeline,50.0,50,0.4487534626038781,0.3488913773195704,0.9743290661057893,,0.858994722366333
PCA Pipeline,5.0,5,0.33240997229916897,0.2683082732131959,0.7901550419161787,,0.43116307258605957
PCA Pipeline,10.0,10,0.39335180055401664,0.3186896076215825,0.8656478978895012,,0.5166831016540527
PCA Pipeline,20.0,20,0.45429362880886426,0.37260273115836773,0.9291119837501001,,0.6027679443359375
PCA Pipeline,50.0,50,0.45429362880886426,0.3488476430413486,0.9743789299402931,,0.848513126373291
Feature Selection Pipeline,5.0,5,0.45429362880886426,0.4109530156745195,,,0.3608059883117676
Feature Selection Pipeline,10.0,10,0.4792243767313019,0.423272777086658,,,0.35419607162475586
Feature Selection Pipeline,20.0,20,0.4626038781163435,0.40060637139960337,,,0.45331406593322754
Feature Selection Pipeline,50.0,50,0.4986149584487535,0.44155855158888957,,,0.6968982219696045
Logistic Regression Pipeline,,276,0.44321329639889195,0.43195212683645595,,,1.7928779125213623
Legacy Statistical Aggregation,,276,0.48476454293628807,0.42121288910179416,,,1.342148780822754
Legacy SVD,5.0,5,0.43213296398891965,0.39707259203912515,0.46295341111219734,,0.33811187744140625
Legacy SVD,10.0,10,0.4598337950138504,0.4086729810893312,0.5837652093373491,,0.4564547538757324
Legacy SVD,20.0,20,0.4598337950138504,0.39118013468533297,0.7087042138283192,,0.5510470867156982
Legacy SVD,50.0,50,0.4487534626038781,0.34533905583272817,0.8582905893290583,,0.8441519737243652
